District: 122 | Population: 17303
District: 278 | Population: 1432
District: 202 | Population: 1427
District: 68 | Population: 1422
District: 43 | Population: 1422
District: 100 | Population: 1397
District: 116 | Population: 1386
District: 154 | Population: 1377
District: 239 | Population: 1369
District: 363 | Population: 1363
District: 282 | Population: 1345
District: 119 | Population: 1327
District: 107 | Population: 1326
District: 258 | Population: 1296
District: 104 | Population: 1288
District: 92 | Population: 1282
District: 186 | Population: 1258
District: 273 | Population: 1253
District: 271 | Population: 1231
District: 161 | Population: 1225
District: 180 | Population: 1209
District: 75 | Population: 1208
District: 368 | Population: 1195
District: 112 | Population: 1192
District: 184 | Population: 1178
District: 334 | Population: 1139
District: 55 | Population: 1137
District: 83 | Population: 1130
District: 312 | Population: 1128
District: 91 | Population: 1124
District: 182 | Population: 1113
District: 49 | Population: 1107
District: 203 | Population: 1089
District: 189 | Population: 1084
District: 272 | Population: 1053
District: 511 | Population: 1046
District: 522 | Population: 1037
District: 152 | Population: 1005
District: 128 | Population: 1001
District: 118 | Population: 998
District: 174 | Population: 988
District: 260 | Population: 973
District: 359 | Population: 971
District: 24 | Population: 948
District: 15 | Population: 920
District: 311 | Population: 903
District: 156 | Population: 867
District: 17 | Population: 864
District: 52 | Population: 858
District: 13 | Population: 857
District: 137 | Population: 849
District: 197 | Population: 827
District: 222 | Population: 820
District: 513 | Population: 815
District: 87 | Population: 811
District: 44 | Population: 804
District: 283 | Population: 782
District: 144 | Population: 780
District: 355 | Population: 779
District: 261 | Population: 776
District: 257 | Population: 772
District: 36 | Population: 766
District: 374 | Population: 755
District: 23 | Population: 745
District: 358 | Population: 744
District: 41 | Population: 740
District: 524 | Population: 730
District: 286 | Population: 728
District: 251 | Population: 728
District: 81 | Population: 716
District: 98 | Population: 713
District: 248 | Population: 712
District: 84 | Population: 706
District: 48 | Population: 663
District: 252 | Population: 639
District: 176 | Population: 639
District: 317 | Population: 636
District: 22 | Population: 627
District: 325 | Population: 625
District: 265 | Population: 623
District: 209 | Population: 616
District: 178 | Population: 614
District: 264 | Population: 614
District: 5 | Population: 613
District: 11 | Population: 612
District: 3 | Population: 610
District: 242 | Population: 607
District: 263 | Population: 603
District: 243 | Population: 592
District: 63 | Population: 581
District: 344 | Population: 578
District: 19 | Population: 578
District: 14 | Population: 562
District: 503 | Population: 548
District: 10 | Population: 534
District: 168 | Population: 531
District: 293 | Population: 530
District: 309 | Population: 518
District: 285 | Population: 514
District: 32 | Population: 494
District: 187 | Population: 494
District: 89 | Population: 477
District: 125 | Population: 474
District: 20 | Population: 468
District: 82 | Population: 453
District: 259 | Population: 445
District: 54 | Population: 444
District: 347 | Population: 433
District: 253 | Population: 426
District: 211 | Population: 425
District: 177 | Population: 421
District: 27 | Population: 417
District: 313 | Population: 415
District: 526 | Population: 405
District: 318 | Population: 398
District: 34 | Population: 383
District: 525 | Population: 378
District: 60 | Population: 377
District: 244 | Population: 376
District: 280 | Population: 374
District: 333 | Population: 374
District: 95 | Population: 370
District: 369 | Population: 365
District: 250 | Population: 355
District: 12 | Population: 346
District: 343 | Population: 328
District: 39 | Population: 323
District: 56 | Population: 319
District: 514 | Population: 310
District: 307 | Population: 300
District: 299 | Population: 298
District: 231 | Population: 282
District: 365 | Population: 279
District: 38 | Population: 276
District: 289 | Population: 276
District: 33 | Population: 275
District: 284 | Population: 249
District: 320 | Population: 248
District: 1 | Population: 242
District: 6 | Population: 239
District: 507 | Population: 237
District: 166 | Population: 226
District: 297 | Population: 225
District: 516 | Population: 221
District: 57 | Population: 212
District: 9 | Population: 211
District: 101 | Population: 211
District: 295 | Population: 211
District: 268 | Population: 206
District: 321 | Population: 199
District: 305 | Population: 196
District: 319 | Population: 192
District: 510 | Population: 187
District: 277 | Population: 181
District: 356 | Population: 180
District: 233 | Population: 174
District: 377 | Population: 156
District: 281 | Population: 136
District: 338 | Population: 133
District: 527 | Population: 124
District: 46 | Population: 113
District: 373 | Population: 113
District: 275 | Population: 113
District: 375 | Population: 108
District: 303 | Population: 103
District: 366 | Population: 98
District: 276 | Population: 95
District: 520 | Population: 92
District: 316 | Population: 91
District: 384 | Population: 88
District: 207 | Population: 87
District: 337 | Population: 83
District: 45 | Population: 79
District: 335 | Population: 78
District: 501 | Population: 77
District: 31 | Population: 71
District: 300 | Population: 69
District: 105 | Population: 65
District: 350 | Population: 60
District: 306 | Population: 59
District: 172 | Population: 52
District: 301 | Population: 52
District: 346 | Population: 46
District: 357 | Population: 46
District: 109 | Population: 37
District: 206 | Population: 35
District: 324 | Population: 30
District: 352 | Population: 29
District: 279 | Population: 28
District: 386 | Population: 27
District: 500 | Population: 27
District: 332 | Population: 26
District: 217 | Population: 25
District: 142 | Population: 24
District: 146 | Population: 23
District: 308 | Population: 23
District: 345 | Population: 20
District: 382 | Population: 18
District: 381 | Population: 16
District: 329 | Population: 15
District: 7 | Population: 13
District: 523 | Population: 13
District: 240 | Population: 12
District: 225 | Population: 12
District: 331 | Population: 11
District: 221 | Population: 11
District: 342 | Population: 9
District: 367 | Population: 9
District: 124 | Population: 7
District: 314 | Population: 6
District: 213 | Population: 6
District: 385 | Population: 6
District: 226 | Population: 5
District: 190 | Population: 5
District: 348 | Population: 5
District: 228 | Population: 4
District: 298 | Population: 4
District: 42 | Population: 4
District: 302 | Population: 3
District: 296 | Population: 3
District: 199 | Population: 3
District: 323 | Population: 3
District: 336 | Population: 2
District: 218 | Population: 2
District: 2 | Population: 2
District: 223 | Population: 2
District: 219 | Population: 2
District: 212 | Population: 1
District: 388 | Population: 1
District: 292 | Population: 1
District: 214 | Population: 1
District: 504 | Population: 1
District: 360 | Population: 1
District: 235 | Population: 1
District: 149 | Population: 1
District: 351 | Population: 1
Number of district: 373
